POS;MONTH;DATE;POS_CAT;POS_CHANNEL;POS_GROUP;LAST_TR_DATE;POS_STATUS;CASH_IN_OUT_STATUS;SITE;LOCALITE;MILIEU;ZONE;DACR;BALANCE;LONGITUDE;LATITUDE;LOCALISATION;SECTEUR;LAST_VISITE_DATE;VISITE;COMMISSIONS_AMNT;IMPACT_VISITE;COMMISSION_PERF;COMMISSION_PERF_2
fhj9cUgU;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ECOLE PRIMAIRE SONUCI;NIAMEY;Urbain;Petit Marché;Niamey;20723.04;2.06544445;13.55469445;Système;Petit Marché 2;1970-01-01;Jamais;550;Jamais visité;Non;Low
3Yg91Mue;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-05;Inactif récent;Inactif récent;CITÉ CHINOISE;NIAMEY;Urbain;Nord;Niamey;372.4;2.1063;13.5611;Système;Nord 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
J82KmhRN;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;BOBIEL;NIAMEY;Urbain;Nord;Niamey;586.5;2.09408755;13.55539747;Système;Nord 3;1970-01-01;Jamais;659;Jamais visité;Non;Low
hZnB8GkQ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-24;Inactif récent;Inactif récent;DIFFA VILLE;DIFFA;Urbain;Est;Diffa;436.82;12.614631666666698;13.312143333333301;Visites;Diffa 2;2020-08-20;Oui;0;N'a pas réagi;Non;Zero
vu1Mm2Cb;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ZINDER_AUTOGARE;ZINDER;Urbain;Centre;Zinder;49260.3;8.9871;13.8064;Système;Zinder 1;1970-01-01;Jamais;540;Jamais visité;Non;Low
Glc9WhRF;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-10;Inactif récent;Inactif récent;ZINDER JAGUINDI;ZINDER;Urbain;Centre;Zinder;152.0;8.98083056;13.82438333;Système;Zinder 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
2ockdQRS;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-02;Inactif récent;Inactif récent;ZINDER NASSARAWA IDI;ZINDER;Urbain;Centre;Zinder;715.0;9.00422;13.803629999999998;Système;Zinder 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
a3IWnOYf;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-08;Actif;Actif;FILINGUE;FILINGUE;Urbain;Est;Tillaberi;1138.56;3.32114743;14.35183873;Visites;Filingué;2020-07-27;Non;1;Non visité;Non;Low
W1EjhK2k;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;TAHOUA 702;TAHOUA;Urbain;Centre;Tahoua;19675.32;5.25284;14.901785;Visites;Tahoua 2;2020-08-15;Oui;1202;A maintenu son statut;Oui;Medium
dZNIJSzP;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-27;Futur inactif;Futur inactif;ZINDER 802;ZINDER;Urbain;Centre;Zinder;320.0;8.97630649;13.79837472;Système;Zinder 4;1970-01-01;Jamais;0;Jamais visité;Non;Zero
4DoLlN5p;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;KARAGUE RIVE DROITE 2;NIAMEY;Urbain;Haro Banda;Niamey;43.07;2.09219299;13.49441588;Système;Haro Banda 2;1970-01-01;Jamais;5837;Jamais visité;Oui;Medium
EesT9WWh;2020-08-01;2020-08-24;INDRETAILER;Indirect;PDV;2020-08-09;Actif;Actif;CITÉ_DÉPUTÉ;NIAMEY;Urbain;Nord;Niamey;33.73;2.127345;13.580776666666699;Visites;Nord 1;2020-08-23;Oui;1526;A maintenu son statut;Oui;Medium
OJRUX4AS;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-08;Actif;Actif;ECOLE ASKIA;NIAMEY;Urbain;Grand Marché;Niamey;1812.08;2.11610974;13.53299047;Système;Grand Marché 3;1970-01-01;Jamais;235;Jamais visité;Non;Low
rxufwRzl;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-03;Futur inactif;Futur inactif;MAINE SOROA;MAINE SOROA;Urbain;Ouest;Diffa;46.0;12.027441666666698;13.21543;Visites;Mainé Soroa;2020-08-19;Oui;6;N'a pas réagi;Non;Low
mWxz403P;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-14;Actif;Actif;ZINDER 800;ZINDER;Urbain;Centre;Zinder;454.0;8.98060931;13.81289183;Système;Zinder 3;1970-01-01;Jamais;4442;Jamais visité;Oui;Medium
VsaOD5G0;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;PETIT MARCHE;NIAMEY;Urbain;Petit Marché;Niamey;247.0;2.11036212;13.51304292;Système;Petit Marché 4;1970-01-01;Jamais;18180;Jamais visité;Oui;High
ApDI8D16;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-07;Inactif récent;Inactif récent;PNA AL OUMA SIEGE;NIAMEY;Urbain;Wadata;Niamey;6005.0;2.1402650000000003;13.515848333333302;Visites;Wadata 2;2020-07-22;Non;0;Non visité;Non;Zero
1Ol2R077;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-24;Inactif récent;Inactif récent;TAHOUA 700;TAHOUA;Urbain;Centre;Tahoua;1802.0;5.2674449999999995;14.8922366666667;Visites;Tahoua 1;2020-07-13;Non;0;Non visité;Non;Zero
vhkBDSrA;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-21;Inactif récent;Inactif récent;MARADI CITÉ CAISSE;MARADI;Urbain;Sud;Maradi;13.09;7.10040834;13.51698056;Système;Maradi 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
Fqavxdpj;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-20;Inactif récent;Inactif récent;BANIFANDOU COCORBADO2;NIAMEY;Urbain;Grand Marché;Niamey;7.5;2.14066489;13.54258758;Système;Grand Marché 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
nsMJwU3B;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-18;Actif;Actif;MAYAHI;MAYAHI;Urbain;Est;Maradi;52714.88;7.680386;13.946961800000002;Visites;Mayahi;2020-07-18;Non;570;Non visité;Non;Low
oY5QD9Gp;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-15;Actif;Actif;MIRRIAH;MIRRIAH;Urbain;Centre;Zinder;15244.5;9.1572723;13.714089333333302;Visites;Zinder 2;2020-08-09;Oui;226;A réagi;Non;Low
oZVYNe4H;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-12;Actif;Actif;BANQUE ATLANTIQUE;NIAMEY;Urbain;Grand Marché;Niamey;33.66;2.11439204;13.51866538;Visites;Grand Marché 4;2020-07-23;Non;10;Non visité;Non;Low
VSPIZ1Vj;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;DOUNGOURO;DOUNGOURO;Rural;Ouest;Tillaberi;92.53;0.7538033333333329;14.306166666666698;Visites;Téra;2020-08-17;Oui;13;A réagi;Non;Low
xGiUoLCX;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-23;Inactif récent;Inactif récent;MADAROUNFA;MADAROUNFA;Urbain;Sud;Maradi;8.3;7.16186557;13.29964714;Système;Madarounfa;1970-01-01;Jamais;0;Jamais visité;Non;Zero
zjPXk13W;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-14;Inactif récent;Inactif récent;MARADI 601;MARADI;Urbain;Sud;Maradi;37.1;7.1081302;13.49763452;Système;Maradi 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
djxKOLmw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-18;Actif;Actif;ALI DAN SOFO 2;MARADI;Urbain;Sud;Maradi;26.0;7.12355818333333;13.47980655;Visites;Maradi 1;2020-08-18;Oui;1;A réagi;Non;Low
4iqO7tDm;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-16;Actif;Actif;ECOLE MADINA3;NIAMEY;Urbain;Grand Marché;Niamey;2507.0;2.1420833333333302;13.535171666666699;Visites;Grand Marché 2;2020-08-23;Oui;50;A maintenu son statut;Non;Low
3no24GmF;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-03;Inactif récent;Inactif récent;ZINDER BANIBIYE;ZINDER;Urbain;Centre;Zinder;30.8;8.96935833;13.81219444;Système;Zinder 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
Wt2QlbNo;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;KONNI 710;KONNI;Urbain;Sud;Tahoua;6.76;5.25162801;13.78918567;Système;Konni;1970-01-01;Jamais;182;Jamais visité;Non;Low
iOaLXyfQ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;TIBIRI MARADI;TIBIRI MARADI;Urbain;Sud;Maradi;36.66;7.0622595;13.57117215;Système;Maradi 3;1970-01-01;Jamais;594;Jamais visité;Non;Low
6Yhvcw4q;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-03-12;Inactif âgé;Inactif âgé;GOURE;GOURE;Urbain;Est;Zinder;82.0;10.27009771;13.98519741;Système;Gouré;1970-01-01;Jamais;0;Jamais visité;Non;Zero
5qTBT6Sl;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ZINDER 800;ZINDER;Urbain;Centre;Zinder;18.9;8.98060931;13.81289183;Système;Zinder 3;1970-01-01;Jamais;16880;Jamais visité;Oui;High
Xe8ohpLZ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-16;Actif;Actif;TAHOUA 700;TAHOUA;Urbain;Centre;Tahoua;520.0;5.27256423;14.89363192;Système;Tahoua 1;1970-01-01;Jamais;20;Jamais visité;Non;Low
DlY2mD0M;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;LOSSA GOUNGOU;NIAMEY;Urbain;Petit Marché;Niamey;414922.95;2.03693166666667;13.5393033333333;Visites;Petit Marché 1;2020-08-11;Oui;32361;A maintenu son statut;Oui;High
jV49XbWl;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;AGADEZ ELEVAGE;AGADEZ;Urbain;Sud;Agadez;47102.98;7.986814999999999;16.98019;Visites;Agadez 4;2020-08-20;Oui;952;A maintenu son statut;Non;Low
nXALW3Fp;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-11;Inactif âgé;Inactif âgé;MARADI ZARIA RELIEF;MARADI;Urbain;Sud;Maradi;87.61;7.121;13.51322222;Système;Maradi 4;1970-01-01;Jamais;0;Jamais visité;Non;Zero
upnAaOPV;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-29;Inactif récent;Inactif récent;TAHOUA_AIRTEL;TAHOUA;Urbain;Centre;Tahoua;325.0;5.24833334;14.89305556;Système;Tahoua 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
1lW99CXg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;TILLABERI;TILLABERI;Urbain;Ouest;Tillaberi;3072.14;1.4542116666666698;14.202241666666698;Visites;Tillabéri;2020-08-23;Oui;5936;A maintenu son statut;Oui;Medium
BUGDp6M7;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;GAYA2;GAYA;Urbain;Sud;Dosso;154.05;3.45541101;11.89066278;Système;Gaya 1;1970-01-01;Jamais;456;Jamais visité;Non;Low
TEZfvBF2;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-14;Actif;Actif;KEITA;KEITA;Urbain;Est;Tahoua;12.5;5.77149869;14.74863865;Système;Keita;1970-01-01;Jamais;13;Jamais visité;Non;Low
5Awimhmh;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;KIRKISSOYE_ZAMAN_LAFIA;NIAMEY;Urbain;Haro Banda;Niamey;2482.5;2.10725164;13.48479563;Système;Haro Banda 3;1970-01-01;Jamais;3875;Jamais visité;Oui;Medium
vKmgHY0p;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-15;Actif;Actif;BANGABANA MOOV;NIAMEY;Urbain;Haro Banda;Niamey;66.5;2.09435741;13.4815036;Système;Haro Banda 4;1970-01-01;Jamais;970;Jamais visité;Non;Low
YpzD3Ty4;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-14;Actif;Actif;DAKORO;DAKORO;Urbain;Nord;Maradi;21.0;6.765325;14.499698333333301;Visites;Dakoro;2020-08-13;Oui;39;A maintenu son statut;Non;Low
9HpDETtD;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;MARADI UNIVERSITE;MARADI;Urbain;Sud;Maradi;102802.0;7.12788889;13.49197223;Système;Maradi 1;1970-01-01;Jamais;11;Jamais visité;Non;Low
aPLvsSmD;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;MARADI 601;MARADI;Urbain;Sud;Maradi;275.17;7.1081302;13.49763452;Système;Maradi 2;1970-01-01;Jamais;503;Jamais visité;Non;Low
dfeDDeKs;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-06;Inactif âgé;Inactif âgé;GAWEYE RIVE DROITE;NIAMEY;Urbain;Haro Banda;Niamey;0.44;2.09793;13.489766666666698;Visites;Haro Banda 3;2020-08-19;Oui;0;N'a pas réagi;Non;Zero
mUS6MVJr;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-10;Actif;Actif;GAWEYE RIVE DROITE;NIAMEY;Urbain;Haro Banda;Niamey;0.94;2.0979383333333304;13.489776666666698;Visites;Haro Banda 3;2020-08-19;Oui;6060;A maintenu son statut;Oui;Medium
0KhXIjUB;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ORIBA FACE;NIAMEY;Urbain;Wadata;Niamey;10232.8;2.13289093;13.49207344;Système;Wadata 3;1970-01-01;Jamais;7035;Jamais visité;Oui;Medium
CkyP87c6;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-20;Actif;Actif;GRAND HÔTEL;NIAMEY;Urbain;Petit Marché;Niamey;159.5;2.112005;13.505583333333302;Visites;Petit Marché 4;2020-08-10;Oui;11359;A maintenu son statut;Oui;High
woI8tZdT;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;BOUKOKI;NIAMEY;Urbain;Grand Marché;Niamey;53686.75;2.1236648;13.52646203;Système;Grand Marché 3;1970-01-01;Jamais;26349;Jamais visité;Oui;High
dsO3iuTQ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;FRANCOPHONIE;NIAMEY;Urbain;Nord;Niamey;8910.0;2.11250166666667;13.566263333333302;Visites;Nord 5;2020-08-21;Oui;1500;A maintenu son statut;Oui;Medium
As6Dx9gn;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-14;Actif;Actif;TERRAIN MUSULMAN;NIAMEY;Urbain;Grand Marché;Niamey;4955.0;2.12680937;13.51274083;Visites;Grand Marché 5;2020-08-19;Oui;1320;A maintenu son statut;Oui;Medium
kLFByx6F;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;CLINIQUE PASTEUR;NIAMEY;Urbain;Petit Marché;Niamey;5002.0;2.1008006;13.51996159;Système;Petit Marché 4;1970-01-01;Jamais;20851;Jamais visité;Oui;High
L0yjwsnI;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;RIMBO COURANT NORD;NIAMEY;Urbain;Grand Marché;Niamey;4969.0;2.12738166666667;13.537406666666698;Visites;Grand Marché 1;2020-08-20;Oui;1491;A maintenu son statut;Oui;Medium
X6CBsa4t;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;IPSP FACE;NIAMEY;Urbain;Grand Marché;Niamey;27964.9;2.12459166666667;13.535860000000001;Visites;Grand Marché 3;2020-08-17;Oui;2395;A maintenu son statut;Oui;Medium
MPabaP1U;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;OPVN_ROUTE_TORODI;NIAMEY;Urbain;Haro Banda;Niamey;0.0;2.07991745;13.49114341;Système;Haro Banda 4;1970-01-01;Jamais;1288;Jamais visité;Oui;Medium
ObMcAH4M;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;FRANCOPHONIE;NIAMEY;Urbain;Nord;Niamey;2970.4;2.11256166666667;13.566206666666698;Visites;Nord 5;2020-08-21;Oui;730;A réagi;Non;Low
vZgulZ1G;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-18;Actif;Actif;OPVN_ROUTE_TORODI;NIAMEY;Urbain;Haro Banda;Niamey;46628.27;2.07991745;13.49114341;Système;Haro Banda 4;1970-01-01;Jamais;2157;Jamais visité;Oui;Medium
QwL3q6MB;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;BANIFANDOU;NIAMEY;Urbain;Nord;Niamey;8365.55;2.1293898999999996;13.552973300000001;Système;Nord 4;1970-01-01;Jamais;3342;Jamais visité;Oui;Medium
lD94IaMv;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;CIMETIERE YANTALA;NIAMEY;Urbain;Petit Marché;Niamey;2475.0;2.07693655;13.53830996;Système;Petit Marché 5;1970-01-01;Jamais;6616;Jamais visité;Oui;Medium
wCQbK2sX;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-06;Actif;Actif;BONKANEY;NIAMEY;Urbain;Grand Marché;Niamey;16436.25;2.13909;13.534405;Visites;Grand Marché 1;2020-07-28;Non;382;Non visité;Non;Low
6u50R3cs;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-18;Inactif récent;Inactif récent;MAYAHI;MAYAHI;Urbain;Est;Maradi;53.56;7.6802423;13.947003899999999;Visites;Mayahi;2020-07-18;Non;0;Non visité;Non;Zero
YTknQ0YN;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-03-16;Inactif âgé;Inactif âgé;ZINDER 800;ZINDER;Urbain;Centre;Zinder;203.0;8.98060931;13.81289183;Système;Zinder 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
b1ab7BQt;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;LAZARET ZAKEY KOIRA;NIAMEY;Urbain;Nord;Niamey;647762.47;2.11664166666667;13.547833333333301;Visites;Nord 4;2020-08-17;Oui;3410;A maintenu son statut;Oui;Medium
PZXIM7Lv;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-15;Actif;Actif;GAYA;GAYA;Urbain;Sud;Dosso;25.0;3.44714666666667;11.8831316666667;Visites;Gaya 1;2020-08-15;Oui;13;A réagi;Non;Low
oHb7KFl0;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-28;Futur inactif;Futur inactif;BADAGUICHIRI;BADAGUICHIRI;Rural;Centre;Tahoua;50.0;5.375755000000001;14.515643333333301;Visites;Illéla;2020-07-30;Non;0;Non visité;Non;Zero
hrMXwaBL;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-05;Actif;Actif;AÉROPORT CHÂTEAU;NIAMEY;Urbain;Wadata;Niamey;673.45;2.2045;13.45711;Système;Wadata 5;1970-01-01;Jamais;80;Jamais visité;Non;Low
LxtR8sUt;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-07;Actif;Actif;GOURE;GOURE;Urbain;Est;Zinder;53.3;10.27009771;13.98519741;Système;Gouré;1970-01-01;Jamais;6;Jamais visité;Non;Low
Y6TwHeES;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-28;Futur inactif;Futur inactif;MARADI BOURJA;MARADI;Urbain;Sud;Maradi;354.0;7.10759723;13.47256389;Système;Maradi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
2vtbJcxg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;TILLABERI;TILLABERI;Urbain;Ouest;Tillaberi;16833.17;1.4543625;14.20702819;Système;Tillabéri;1970-01-01;Jamais;156780;Jamais visité;Oui;Super High
tEjrgZi1;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-24;Inactif récent;Inactif récent;GUIDAN ROUMJI;GUIDAN ROUMDJI;Urbain;Sud;Maradi;43.05;6.69692468;13.66182616;Système;Guidan Roumdji;1970-01-01;Jamais;0;Jamais visité;Non;Zero
uKbcgJnw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-05;Inactif âgé;Inactif âgé;MARADI_CHÂTEAU_JANGORZO;MARADI;Urbain;Sud;Maradi;189329.65;7.1128;13.4944;Système;Maradi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
1P10VuRw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-10;Actif;Actif;TAMAYA;TAMAYA;Rural;Nord;Tahoua;4901.0;6.76626458;15.82879204;Système;Abalak;1970-01-01;Jamais;1;Jamais visité;Non;Low
AZmw5xoN;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;RADIO KAKAKI;NIAMEY;Urbain;Wadata;Niamey;12638.89;2.13031619;13.50400826;Système;Wadata 2;1970-01-01;Jamais;323;Jamais visité;Non;Low
Zy0KYHCD;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;DAR SALAM PAVÉ;NIAMEY;Urbain;Nord;Niamey;753243.78;2.0996366666666697;13.55195;Visites;Nord 3;2020-08-24;Oui;240623;A maintenu son statut;Oui;Super High
IfPZ5B75;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-11;Actif;Actif;NIAMEY 2000 SAGA FANDOU;NIAMEY;Urbain;Wadata;Niamey;2253.5;2.17557;13.53731;Visites;Wadata 1;2020-07-13;Non;108;Non visité;Non;Low
d1A1PaQm;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-04;Actif;Actif;AEROPORT DIORI HAMANI;NIAMEY;Urbain;Wadata;Niamey;600.0;2.1801977999999997;13.47520723;Système;Wadata 5;1970-01-01;Jamais;600;Jamais visité;Non;Low
8aUorErs;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-20;Actif;Actif;DOSSO_TONDOBON;DOSSO;Urbain;Centre;Dosso;57.5;3.20109;13.04546;Visites;Dosso 2;2020-08-20;Oui;13;A maintenu son statut;Non;Low
whag1dUc;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-15;Actif;Actif;DAKORO;DAKORO;Urbain;Nord;Maradi;59.34;6.76521333333333;14.49954;Visites;Dakoro;2020-08-13;Oui;147;A réagi;Non;Low
JyWa3Npt;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;KONNI 711;KONNI;Urbain;Sud;Tahoua;2130.94;5.24765166666667;13.801781666666699;Visites;Konni;2020-07-17;Non;65125;Non visité;Oui;Super High
c1kOhBNB;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-19;Actif;Actif;GALMI;GALMI;Rural;Sud;Tahoua;33.25;5.6651;13.969000000000001;Système;Madaoua;1970-01-01;Jamais;5;Jamais visité;Non;Low
3rFIoYtD;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-12;Actif;Actif;TAHOUA_AYARAGGOUA;TAHOUA;Urbain;Centre;Tahoua;333.69;5.2597;14.8919;Système;Tahoua 3;1970-01-01;Jamais;605;Jamais visité;Non;Low
bmsX8yvw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-18;Inactif récent;Inactif récent;ARLIT SOMAIR KARÉ;ARLIT;Urbain;Nord;Agadez;211.87;7.40022222;18.74052778;Système;Arlit 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
AAk2m9p4;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-03-24;Inactif âgé;Inactif âgé;ZINDER_AUTOGARE;ZINDER;Urbain;Centre;Zinder;224.0;8.9871;13.8064;Système;Zinder 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
tQrIOssh;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-13;Actif;Actif;BRS;NIAMEY;Urbain;Petit Marché;Niamey;3031.55;2.1171533333333303;13.507206666666699;Visites;Petit Marché 4;2020-08-10;Oui;18540;A maintenu son statut;Oui;High
uwdg9jQ8;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;CITÉ_DÉPUTÉ;NIAMEY;Urbain;Nord;Niamey;61472.3;2.12733333333333;13.580725;Visites;Nord 1;2020-07-22;Non;10410;Non visité;Oui;High
rQrHlczX;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;TESSAOUA_2;TESSAOUA;Urbain;Est;Maradi;5244.7;7.99146666666667;13.750558333333302;Visites;Tessaoua;2020-08-13;Oui;10526;A maintenu son statut;Oui;High
PD6yi31I;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-03-18;Inactif âgé;Inactif âgé;PNA AL OUMA SIEGE;NIAMEY;Urbain;Wadata;Niamey;1932.95;2.13934952;13.51258359;Système;Wadata 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
2vDZg9wv;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;BONKANEY;NIAMEY;Urbain;Grand Marché;Niamey;136990.6;2.1389466666666697;13.534355;Visites;Grand Marché 1;2020-08-23;Oui;26342;A maintenu son statut;Oui;High
31MnRAdg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;NIAMEY 2000;NIAMEY;Urbain;Wadata;Niamey;486576.68;2.17963228;13.52176928;Système;Wadata 1;1970-01-01;Jamais;65816;Jamais visité;Oui;Super High
05mpffDE;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-26;Futur inactif;Futur inactif;BADAGUICHIRI;BADAGUICHIRI;Rural;Centre;Tahoua;20060.0;5.37554333333333;14.515683333333302;Visites;Illéla;2020-07-30;Non;0;Non visité;Non;Zero
O77woY6N;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-08;Actif;Actif;AGADEZ SABON GARI;AGADEZ;Urbain;Sud;Agadez;22.7;8.011167;16.977667;Système;Agadez 2;1970-01-01;Jamais;21;Jamais visité;Non;Low
9bwoqrRz;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-06;Actif;Actif;BOBIEL MOOV;NIAMEY;Urbain;Nord;Niamey;3673.0;2.08726833333333;13.55403;Visites;Nord 3;2020-07-20;Non;23;Non visité;Non;Low
P7m7hASE;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-14;Actif;Actif;MADAOUA_2;MADAOUA;Urbain;Sud;Tahoua;254.0;5.9598;14.0712;Système;Madaoua;1970-01-01;Jamais;3;Jamais visité;Non;Low
Wxp2Wwe6;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-24;Inactif récent;Inactif récent;BAGAGI;BAGAGI;Rural;Est;Dosso;3877.5;4.045625;13.849925;Visites;Doutchi 2;2020-08-19;Oui;0;N'a pas réagi;Non;Zero
MZi5rNWP;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;MARADI 601;MARADI;Urbain;Sud;Maradi;357534.06;7.1081302;13.49763452;Système;Maradi 2;1970-01-01;Jamais;11680;Jamais visité;Oui;High
