"SITE";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"LONGITUDE";"LATITUDE"
"GOTHEYE";"GOTHEYE";"Rural";"Gotheye";"Ouest";"Tillaberi";1.56943703;13.85393909
"KOULI KOARA";"KOULI KOARA";"Rural";"Gotheye";"Ouest";"Tillaberi";1.48311865;13.87416468
"LARBA BIRNO";"LARBA BIRNO";"Rural";"Gotheye";"Ouest";"Tillaberi";1.55606431;13.70706658
"MBANGA";"MBANGA";"Rural";"Gotheye";"Ouest";"Tillaberi";1.56001;13.62184
"MEHANNA";"MEHANNA";"Rural";"Gotheye";"Ouest";"Tillaberi";1.13266592;14.39066272
"SAMIRA";"SAMIRA";"Rural";"Gotheye";"Ouest";"Tillaberi";1.21750067;13.43427533
"TOURE";"TOURE";"Rural";"Gotheye";"Ouest";"Tillaberi";1.45063496;13.61814169
"BANJO";"BANJO";"Rural";"Koma Bangou";"Ouest";"Tillaberi";1.10583431;13.88836124
"DARGOL";"DARGOL";"Rural";"Koma Bangou";"Ouest";"Tillaberi";1.24088581;13.91905294
"KOMA BANGOU";"KOMA BANGOU";"Rural";"Koma Bangou";"Ouest";"Tillaberi";1.05971563;14.07745026
"BANIBANGOU";"BANIBANGOU";"Rural";"Ouallam";"Ouest";"Tillaberi";2.70033215;15.04442076
"MANGAIZE";"MANGAIZE";"Rural";"Ouallam";"Ouest";"Tillaberi";1.9522683;14.68246365
"OUALLAM";"OUALLAM";"Urbain";"Ouallam";"Ouest";"Tillaberi";2.09033381;14.3217194
"BANGARE";"BANGARE";"Rural";"Téra";"Ouest";"Tillaberi";0.628083;13.783917
"BANGOUTARA";"BANGOUTARA";"Rural";"Téra";"Ouest";"Tillaberi";1.36777317;13.84661273
"BANKILARE";"BANKILARE";"Rural";"Téra";"Ouest";"Tillaberi";0.71873889;14.58171944
"DJAGOUROU";"DJAGOUROU";"Rural";"Téra";"Ouest";"Tillaberi";0.81263602;13.9108876
"DOLBEL";"DOLBEL";"Rural";"Téra";"Ouest";"Tillaberi";0.286305;14.611388
"DOUNGOURO";"DOUNGOURO";"Rural";"Téra";"Ouest";"Tillaberi";0.75272222;14.29680556
"KOKOROU";"KOKOROU";"Rural";"Téra";"Ouest";"Tillaberi";0.91791667;14.21022222
"TEGUE";"TEGUE";"Rural";"Téra";"Ouest";"Tillaberi";0.535083;14.655861
"TERA";"TERA";"Urbain";"Téra";"Ouest";"Tillaberi";0.75998541;14.00450028
"AYOROU";"AYOROU";"Rural";"Tillabéri";"Ouest";"Tillaberi";0.94115344;14.73937905
"BOURKÉ BOURKÉ";"BOURKÉ BOURKÉ";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.22972223;13.63425001
"DJAMBALA";"DJAMBALA";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.29985927;14.3180277
"FARIE HAOUSSA";"FARIE HAOUSSA";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.63832841;13.79460562
"GABOU";"GABOU";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.04556607;14.59645401
"KARMA ROUTE";"KARMA";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.78721542;13.70435776
"KARMA VILLAGE";"KARMA";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.81980668;13.67896695
"TOUNDI FARKA";"TOUNDI FARKA";"Rural";"Tillabéri";"Ouest";"Tillaberi";1.55205861;14.037076
"TILLABERI";"TILLABERI";"Urbain";"Tillabéri";"Ouest";"Tillaberi";1.4543625;14.20702819
"TILLABERI_ENTREE";"TILLABERI";"Urbain";"Tillabéri";"Ouest";"Tillaberi";1.46219445;14.19741667
"SORODAYA (GARAGOUMSA)";"SORODAYA";"Rural";"Matameye";"Centre";"Zinder";8.39735596;13.66603373
"TACHAL MALLAM";"TACHAL MALLAM";"Rural";"Matameye";"Centre";"Zinder";8.63013889;13.72230556
"TAKIETA";"TAKIETA";"Rural";"Matameye";"Centre";"Zinder";8.53309585;13.68313161
"ZINDER 801";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.9959251;13.8036989
"ZINDER CEG 8";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.99358;13.82292
"ZINDER DEPOT SONIDEP";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.99144;13.83295
"ZINDER GARIN MALAM";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.9961;13.81135
"ZINDER JAGUINDI";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.98083056;13.82438333
"ZINDER_AUTOGARE";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";8.9871;13.8064
"GARIN SALEY";"GARIN SALEY";"Rural";"Zinder 2";"Centre";"Zinder";9.11733333;13.58269444
"KOLERAM";"KOLERAM";"Rural";"Zinder 2";"Centre";"Zinder";9.08266111;13.71458889
"MIRRIAH";"MIRRIAH";"Urbain";"Zinder 2";"Centre";"Zinder";9.15940293;13.71503692
"CIMETIERE NASSARA IDI";"ZINDER";"Urbain";"Zinder 2";"Centre";"Zinder";9.00642;13.79515
"ZINDER FRANCO";"ZINDER";"Urbain";"Zinder 2";"Centre";"Zinder";9.00308333;13.78566667
"ZINDER NASSARAWA IDI";"ZINDER";"Urbain";"Zinder 2";"Centre";"Zinder";9.00422;13.80363
"CEG 13 FRANCO ARABE";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.9663;13.82301
"ECOLE CHARÉE ZAMNA 2";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.96332;13.81533
"ZINDER 800";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.98060931;13.81289183
"ZINDER BANIBIYE";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.96935833;13.81219444
"ZINDER CEG 5";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.96299;13.80792
"ZINDER CEG10";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.97324;13.83101
"ZINDER UNIV";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.98863;13.84394
"ZINDER_SATOM";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";8.985;13.887
"BABANTABKI";"BABANTABKI";"Rural";"Zinder 4";"Centre";"Zinder";9.02854971;13.70606611
"DOGO CHAIBOU";"DOGO CHAIBOU";"Rural";"Zinder 4";"Centre";"Zinder";9.01233575;13.49725516
"DROUM MALORI";"DROUM MALORI";"Rural";"Zinder 4";"Centre";"Zinder";8.89520773;13.56565174
"GOGO";"GOGO";"Rural";"Zinder 4";"Centre";"Zinder";8.95208889;13.66051111
"TIRMINI";"TIRMINI";"Rural";"Zinder 4";"Centre";"Zinder";8.79887441;13.76888726
"ZINDER 802";"ZINDER";"Urbain";"Zinder 4";"Centre";"Zinder";8.97630649;13.79837472
"ZINDER GOUVERNORAT";"ZINDER";"Urbain";"Zinder 4";"Centre";"Zinder";8.98826;13.79142
"ZINDER ROUTE MAGARIA";"ZINDER";"Urbain";"Zinder 4";"Centre";"Zinder";8.99693;13.77268
"ZINDER ROUTE NIAMEY";"ZINDER";"Urbain";"Zinder 4";"Centre";"Zinder";8.96291;13.80155
"DAMAGARAN TAKAYA";"DAMAGARAM TAKAYA";"Rural";"Damagaram Takaya";"Est";"Zinder";9.49119444;14.14433333
"KASSAMA";"KASSAMA";"Rural";"Damagaram Takaya";"Est";"Zinder";9.27319444;13.98925
"MOA HAUOSSA";"MOA HAUOSSA";"Rural";"Damagaram Takaya";"Est";"Zinder";9.75825;14.17319444
"ZERMOU";"ZERMOU";"Rural";"Damagaram Takaya";"Est";"Zinder";9.32113889;13.87191667
"BOUNE";"BOUNE";"Rural";"Gouré";"Est";"Zinder";10.136;13.51945
"GUIDIGUIR";"GUIDIGUIR";"Rural";"Gouré";"Est";"Zinder";9.82665846;13.67872693
"GUIDIMOUNI";"GUIDIMOUNI";"Rural";"Gouré";"Est";"Zinder";9.50721535;13.68892846
"KARGUERI";"KARGUERI";"Rural";"Gouré";"Est";"Zinder";10.41756111;13.44183056
"KAZOE";"KAZOE";"Rural";"Gouré";"Est";"Zinder";9.96930556;14.22788889
"SOUBDOU";"SOUBDOU";"Rural";"Gouré";"Est";"Zinder";10.54652778;13.81163889
"TESKER";"TESKER";"Rural";"Gouré";"Est";"Zinder";10.69041843;15.115612
"GOURE";"GOURE";"Urbain";"Gouré";"Est";"Zinder";10.27009771;13.98519741
"AROUNGOUZA";"AROUNGOUZA";"Rural";"Bakin Birgi";"Nord";"Zinder";8.94710319;14.03550976
"BAKIN BIRGI";"BAKIN BIRGI";"Rural";"Bakin Birgi";"Nord";"Zinder";8.78746999;14.25541072
"GUEZAOUA";"GUEZAOUA";"Rural";"Bakin Birgi";"Nord";"Zinder";8.72433333;14.44411111
"SABON KAFI";"SABON KAFI";"Rural";"Bakin Birgi";"Nord";"Zinder";8.74797456;14.65252048
"SORAZ";"SORAZ";"Rural";"Bakin Birgi";"Nord";"Zinder";8.79030556;14.18816667
"BATTE";"BATTE";"Rural";"Tanout";"Nord";"Zinder";7.98133775;14.95242006
"BELBEJI";"BELBEJI";"Rural";"Tanout";"Nord";"Zinder";7.9999626;14.68518824
"INYALWA";"INYALWA";"Rural";"Tanout";"Nord";"Zinder";8.59063889;14.115
"YAGADJI";"YAGADJI";"Rural";"Tanout";"Nord";"Zinder";8.394794;14.36530179
"TANOUT";"TANOUT";"Urbain";"Tanout";"Nord";"Zinder";8.87919853;14.97219606
"BANDE HAOUSSA";"BANDE HAOUSSA";"Rural";"Magaria";"Sud";"Zinder";8.88754471;13.17735712
"DAN TCHIAOU";"DAN TCHIAOU";"Rural";"Magaria";"Sud";"Zinder";9.09513889;12.87996389
"DOGO DOGO";"DOGO DOGO";"Rural";"Magaria";"Sud";"Zinder";9.32658889;12.90168056
"DUNGASS";"DUNGASS";"Rural";"Magaria";"Sud";"Zinder";9.33486111;13.06163889
"GUIRARI";"GUIRARI";"Rural";"Magaria";"Sud";"Zinder";9.15605407;13.40416932
"TINKIM";"TINKIM";"Rural";"Magaria";"Sud";"Zinder";8.96721462;12.88343947
"TSATSOUMBOUROUM";"TSATSOUMBOUROUM";"Rural";"Magaria";"Sud";"Zinder";8.49218767;13.11984574
"WACHA";"WACHA";"Rural";"Magaria";"Sud";"Zinder";9.29988889;13.3639
"YEKOUA";"YEKOUA";"Rural";"Magaria";"Sud";"Zinder";8.67319;13.039944
"MAGARIA";"MAGARIA";"Urbain";"Magaria";"Sud";"Zinder";8.90280859;12.99281537
"DOUNGOU HAOUSSA";"DOUNGOU HAOUSSA";"Rural";"Matameye";"Sud";"Zinder";8.63233889;13.42283056
"KANTCHE";"KANTCHE";"Rural";"Matameye";"Sud";"Zinder";8.46454771;13.53904814
"MAY MOUJIA";"MAY MOUJIA";"Rural";"Matameye";"Sud";"Zinder";8.29005;13.18073889
"MATAMEYE";"MATAMEYE";"Urbain";"Matameye";"Sud";"Zinder";8.47313493;13.41766521
"GADA";"GADA";"Rural";"Zinder 3";"Sud";"Zinder";8.98525;13.37472222
