"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"UZC5LoMX";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-18;"Actif";6;2020-08-18;2020-07-29;"Actif";0;0;0;0;4240.78;2020-08-24;8.9809;13.8244716666667;"ZINDER JAGUINDI";"Visites";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Oui";182;"A maintenu son statut";"Non"
"aT0JK74Q";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-29;"Actif";2;2020-06-16;2020-07-29;"Actif";0;0;0;0;1042;2020-07-29;9.00911156666667;13.78716695;"ZINDER FRANCO";"Visites";"ZINDER";"Urbain";"Zinder 2";"Centre";"Zinder";"Oui";15;"A maintenu son statut";"Non"
"aT0JK74Q";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-29;"Futur inactif";26;2020-06-16;2020-07-29;"Futur inactif";0;0;0;0;1042;2020-07-29;9.00911156666667;13.78716695;"ZINDER FRANCO";"Visites";"ZINDER";"Urbain";"Zinder 2";"Centre";"Zinder";"Non";0;"Non visité";"Non"
"z49nlzHU";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-30;2020-07-20;"Actif";0;0;0;0;4157.3;2020-07-10;7.12021333333333;13.5181216666667;"MARADI ZARIA ONI";"Visites";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";"Oui";4436;"A maintenu son statut";"Oui"
"z49nlzHU";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-24;"Actif";0;2020-08-24;2020-07-20;"Actif";2;69300;0;0;171.3;2020-07-10;7.12021333333333;13.5181216666667;"MARADI ZARIA ONI";"Visites";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";"Non";2414;"Non visité";"Oui"
"aGDGCy1J";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";0;2020-07-31;2020-07-14;"Actif";1;150;0;0;102.95;1970-01-01;2.148638889;13.51266667;"FAMEY";"Système";"NIAMEY";"Urbain";"Wadata 4";"Wadata";"Niamey";"Jamais";293;"Jamais visité";"Non"
"aGDGCy1J";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-24;"Actif";0;2020-08-24;2020-08-18;"Actif";1;100;0;0;2404.45;1970-01-01;2.136;13.53713889;"BONKANEY";"Système";"NIAMEY";"Urbain";"Grand Marché 1";"Grand Marché";"Niamey";"Jamais";202;"Jamais visité";"Non"
"bZeeRhNc";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-02;"Futur inactif";22;2020-08-02;1970-01-01;"Futur inactif";0;0;0;0;20;1970-01-01;8.99144;13.83295;"ZINDER DEPOT SONIDEP";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";3;"Jamais visité";"Non"
"YSDD6Lc5";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";3;2020-07-28;1970-01-01;"Actif";0;0;0;0;50.2;1970-01-01;7.1081302;13.49763452;"MARADI 601";"Système";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";"Jamais";1;"Jamais visité";"Non"
"YSDD6Lc5";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-28;"Futur inactif";27;2020-07-28;1970-01-01;"Futur inactif";0;0;0;0;50.2;2020-08-11;7.13268425;13.4803754166667;"ALI DAN SOFO 2";"Visites";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";"Oui";0;"N'a pas réagi";"Non"
"h6DuIH93";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-04-23;"Inactif âgé";99;2020-04-23;1970-01-01;"Inactif âgé";0;0;0;0;14.65;1970-01-01;7.123217;13.48038;"ALI DAN SOFO 2";"Système";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";"Jamais";0;"Jamais visité";"Non"
