"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"T0zn3pG0";2020-07-01;2020-07-31;"Half Wholesaler";"Indirect";"PDV";2020-07-17;"Actif";14;2020-07-17;2020-07-17;"Actif";0;0;0;0;45;2020-07-25;7.39199833333333;18.748155;"ARLIT_SOMAIR_DENSIF";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Oui";25;"A maintenu son statut";"Non"
"T0zn3pG0";2020-08-01;2020-08-16;"Half Wholesaler";"Indirect";"PDV";2020-07-17;"Inactif récent";30;2020-07-17;2020-07-17;"Inactif récent";0;0;0;0;45;2020-07-25;7.39199833333333;18.748155;"ARLIT_SOMAIR_DENSIF";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Non";0;"Non visité";"Non"
"Lx7vpicu";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-21;"Actif";10;2020-07-21;2020-06-09;"Actif";0;0;0;0;45.76;1970-01-01;5.24816945;14.90079167;"TAHOUA LYCEE AGABA";"Système";"TAHOUA";"Urbain";"Tahoua 2";"Centre";"Tahoua";"Jamais";93;"Jamais visité";"Non"
"Lx7vpicu";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-21;"Futur inactif";26;2020-07-21;2020-06-09;"Futur inactif";0;0;0;0;45.76;1970-01-01;5.24816945;14.90079167;"TAHOUA LYCEE AGABA";"Système";"TAHOUA";"Urbain";"Tahoua 2";"Centre";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"SpDamnkp";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";3;2020-07-28;2020-07-28;"Actif";0;0;0;0;210;1970-01-01;7.10011389;13.50396945;"NOUVEAU CARRÉ";"Système";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";"Jamais";3;"Jamais visité";"Non"
"SpDamnkp";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";19;2020-07-28;2020-07-28;"Actif";0;0;0;0;210;1970-01-01;7.10011389;13.50396945;"NOUVEAU CARRÉ";"Système";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";"Jamais";0;"Jamais visité";"Non"
"KCBFv2XG";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-08;"Futur inactif";23;2020-07-08;2020-07-08;"Futur inactif";0;0;0;0;41.25;2020-07-16;7.38762833333333;18.7413183333333;"ARLIT-SOMAIR";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Oui";530;"N'a pas réagi";"Non"
"KCBFv2XG";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-08;"Inactif récent";39;2020-07-08;2020-07-08;"Inactif récent";0;0;0;0;41.25;2020-07-16;7.38762833333333;18.7413183333333;"ARLIT-SOMAIR";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Non";0;"Non visité";"Non"
"0HNOPR7u";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-09;"Futur inactif";22;2020-07-09;2020-07-09;"Futur inactif";0;0;0;0;80.25;1970-01-01;7.998833;16.987;"AGADEZ JEUNE CADRE";"Système";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";"Jamais";9;"Jamais visité";"Non"
"0HNOPR7u";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-09;"Inactif récent";38;2020-07-09;2020-07-09;"Inactif récent";0;0;0;0;80.25;1970-01-01;7.998833;16.987;"AGADEZ JEUNE CADRE";"Système";"AGADEZ";"Urbain";"Agadez 4";"Sud";"Agadez";"Jamais";0;"Jamais visité";"Non"
"Dmds9joT";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-29;"Actif";2;2020-07-29;2020-07-29;"Actif";0;0;0;0;27.5;2020-07-29;7.38873333333333;18.7367233333333;"ARLIT-SOMAIR";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Oui";13;"A réagi";"Non"
"Dmds9joT";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-29;"Actif";18;2020-07-29;2020-07-29;"Actif";0;0;0;0;27.5;2020-07-29;7.38873333333333;18.7367233333333;"ARLIT-SOMAIR";"Visites";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Non";0;"Non visité";"Non"
"wFgdHlTu";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-24;"Inactif récent";37;2020-06-24;2020-06-24;"Inactif récent";0;0;0;0;35;2020-07-20;7.99137;16.9715616666667;"AGADEZ MOOV OLD VILLE";"Visites";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";"Oui";0;"N'a pas réagi";"Non"
"wFgdHlTu";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-06-24;"Inactif récent";53;2020-06-24;2020-06-24;"Inactif récent";0;0;0;0;35;2020-07-20;7.99137;16.9715616666667;"AGADEZ MOOV OLD VILLE";"Visites";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";"Non";0;"Non visité";"Non"
"TBV0ZgYi";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-24;"Inactif récent";37;2020-06-24;2020-05-28;"Inactif récent";0;0;0;0;91;1970-01-01;2.09971124;13.53200075;"CALL CENTER NODAL";"Système";"NIAMEY";"Urbain";"Petit Marché 3";"Petit Marché";"Niamey";"Jamais";3600;"Jamais visité";"Oui"
"TBV0ZgYi";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-06-24;"Inactif récent";53;2020-06-24;2020-05-28;"Inactif récent";0;0;0;0;91;1970-01-01;2.09971124;13.53200075;"CALL CENTER NODAL";"Système";"NIAMEY";"Urbain";"Petit Marché 3";"Petit Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"fISnu6RG";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-28;"Inactif récent";33;2020-06-28;1970-01-01;"Inactif récent";0;0;0;0;18.39;1970-01-01;7.10011389;13.50396945;"NOUVEAU CARRÉ";"Système";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";"Jamais";0;"Jamais visité";"Non"
"fISnu6RG";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-06;"Actif";10;2020-08-06;1970-01-01;"Actif";0;0;0;0;19.39;1970-01-01;7.10011389;13.50396945;"NOUVEAU CARRÉ";"Système";"MARADI";"Urbain";"Maradi 3";"Sud";"Maradi";"Jamais";1;"Jamais visité";"Non"
"Xyx5YpFV";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-10;"Futur inactif";21;2020-07-10;1970-01-01;"Futur inactif";0;0;0;0;105.49;2020-07-22;5.79933833333333;15.90429;"TCHINTABARADEN";"Visites";"TCHINTABARADEN";"Urbain";"Tchinta";"Nord";"Tahoua";"Oui";20;"Nouveau PDV visité";"Non"
"Xyx5YpFV";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-16;"Actif";0;2020-08-16;2020-08-16;"Actif";2;500;1;500;117.99;2020-08-16;5.80036;15.90681;"TCHINTABARADEN";"Visites";"TCHINTABARADEN";"Urbain";"Tchinta";"Nord";"Tahoua";"Oui";0;"A réagi";"Non"
"UQDSakl9";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";0;2020-07-31;2020-05-09;"Actif";6;7075;0;0;1766.33;2020-07-21;9.08756846666667;13.7161241166667;"KOLERAM";"Visites";"KOLERAM";"Rural";"Zinder 2";"Centre";"Zinder";"Oui";826;"A maintenu son statut";"Non"
"UQDSakl9";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-16;"Actif";0;2020-08-16;2020-05-09;"Actif";3;3450;0;0;8454.83;2020-07-21;9.08756846666667;13.7161241166667;"KOLERAM";"Visites";"KOLERAM";"Rural";"Zinder 2";"Centre";"Zinder";"Non";439;"Non visité";"Non"
"4ibn237S";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-03-16;"Inactif âgé";137;2020-03-16;1970-01-01;"Inactif âgé";0;0;0;0;114.8;1970-01-01;8.011167;16.977667;"AGADEZ SABON GARI";"Système";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";"Jamais";0;"Jamais visité";"Non"
"4ibn237S";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-03-16;"Inactif âgé";153;2020-03-16;1970-01-01;"Inactif âgé";0;0;0;0;114.8;1970-01-01;8.011167;16.977667;"AGADEZ SABON GARI";"Système";"AGADEZ";"Urbain";"Agadez 2";"Sud";"Agadez";"Jamais";0;"Jamais visité";"Non"
"Cr8absP2";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";0;2020-07-31;1970-01-01;"Actif";3;89000;0;0;195.44;1970-01-01;2.090333333;13.54266667;"DEUXIEME LATERITE";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";13035;"Jamais visité";"Oui"
"Cr8absP2";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-15;"Actif";1;2020-08-15;1970-01-01;"Actif";0;0;0;0;506.44;1970-01-01;2.090333333;13.54266667;"DEUXIEME LATERITE";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";5521;"Jamais visité";"Oui"
"pGsohKIt";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-05-30;"Inactif récent";62;2020-05-30;2020-05-14;"Inactif récent";0;0;0;0;199;1970-01-01;6.16996944;15.474175;"INIRIGANE";"Système";"INIRIGANE";"Rural";"Abalak";"Nord";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"pGsohKIt";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-05-30;"Inactif récent";78;2020-05-30;2020-05-14;"Inactif récent";0;0;0;0;199;1970-01-01;5.80419144;15.89475077;"TCHINTABARADEN";"Système";"TCHINTABARADEN";"Urbain";"Tchinta";"Nord";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"YDIw4EJA";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-17;"Actif";14;2020-07-17;1970-01-01;"Actif";0;0;0;0;191.14;1970-01-01;2.090333333;13.54266667;"DEUXIEME LATERITE";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";705;"Jamais visité";"Non"
"YDIw4EJA";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-17;"Inactif récent";30;2020-07-17;1970-01-01;"Inactif récent";0;0;0;0;191.14;1970-01-01;2.090333333;13.54266667;"DEUXIEME LATERITE";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"9MHmJiNm";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";3;2020-07-28;1970-01-01;"Actif";0;0;0;0;1.47;1970-01-01;8.97324;13.83101;"ZINDER CEG10";"Système";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Jamais";1512;"Jamais visité";"Oui"
"9MHmJiNm";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-09;"Actif";7;2020-08-09;1970-01-01;"Actif";0;0;0;0;2497.81;1970-01-01;8.97324;13.83101;"ZINDER CEG10";"Système";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Jamais";30;"Jamais visité";"Non"
"4vA0NYIV";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-18;"Actif";13;2020-07-18;1970-01-01;"Actif";0;0;0;0;2235;2020-07-16;2.12079666666667;13.5548483333333;"LAZARET MOSQUE TOUKOUR";"Visites";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Oui";735;"Nouveau PDV visité";"Non"
"4vA0NYIV";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-16;"Actif";0;2020-08-16;1970-01-01;"Actif";1;1500;0;0;870;2020-08-14;2.11421;13.5517183333333;"LAZARET MOSQUE TOUKOUR";"Visites";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Oui";120;"A maintenu son statut";"Non"
"FiDvoiiB";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-30;"Inactif récent";31;2020-06-30;2020-06-30;"Inactif récent";0;0;0;0;70.5;1970-01-01;7.39009139;18.73877656;"ARLIT-SOMAIR";"Système";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Jamais";0;"Jamais visité";"Non"
"FiDvoiiB";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-06-30;"Inactif récent";47;2020-06-30;2020-06-30;"Inactif récent";0;0;0;0;70.5;1970-01-01;7.39009139;18.73877656;"ARLIT-SOMAIR";"Système";"ARLIT";"Urbain";"Arlit 1";"Nord";"Agadez";"Jamais";0;"Jamais visité";"Non"
"xi2xkqbB";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-21;"Actif";10;2020-07-21;2020-03-10;"Actif";0;0;0;0;1071.08;2020-07-25;7.38634666666667;18.7393616666667;"ARLIT HQ_AIRTEL";"Visites";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";"Oui";2029;"A maintenu son statut";"Oui"
"xi2xkqbB";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-16;"Actif";0;2020-08-16;2020-03-10;"Actif";1;37600;0;0;68069.08;2020-08-08;7.38682833333333;18.73794;"ARLIT HQ_AIRTEL";"Visites";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";"Oui";822;"A maintenu son statut";"Non"
"Dz73bwgJ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-05-06;"Inactif récent";86;2020-05-06;1970-01-01;"Inactif récent";0;0;0;0;207;2020-07-27;7.99438166666667;16.97058;"AGADEZ MOOV OLD VILLE";"Visites";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";"Oui";0;"N'a pas réagi";"Non"
"Dz73bwgJ";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-05-06;"Inactif âgé";102;2020-05-06;1970-01-01;"Inactif âgé";0;0;0;0;207;2020-08-12;7.99346666666667;16.9699933333333;"AGADEZ MOOV OLD VILLE";"Visites";"AGADEZ";"Urbain";"Agadez 5";"Sud";"Agadez";"Oui";0;"N'a pas réagi";"Non"
"dXENYvQJ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-04-23;"Inactif âgé";99;2020-04-23;2020-04-19;"Inactif âgé";0;0;0;0;27;1970-01-01;6.28794826;15.4643044;"ABALAK";"Système";"ABALAK";"Urbain";"Abalak";"Nord";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"dXENYvQJ";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-04-23;"Inactif âgé";115;2020-04-23;2020-04-19;"Inactif âgé";0;0;0;0;27;1970-01-01;6.28794826;15.4643044;"ABALAK";"Système";"ABALAK";"Urbain";"Abalak";"Nord";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"RHuIsjiZ";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-09;"Actif";7;2020-08-09;1970-01-01;"Actif";0;0;0;0;1901;1970-01-01;6.28794826;15.4643044;"ABALAK";"Système";"ABALAK";"Urbain";"Abalak";"Nord";"Tahoua";"Jamais";1;"Jamais visité";"Non"
"9PITgSWE";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-07;"Futur inactif";24;2020-07-07;1970-01-01;"Futur inactif";0;0;0;0;298;1970-01-01;2.18196536;13.46889294;"AEROPORT QUARTIER";"Système";"NIAMEY";"Urbain";"Wadata 5";"Wadata";"Niamey";"Jamais";350;"Jamais visité";"Non"
"9PITgSWE";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-02;"Actif";14;2020-08-02;1970-01-01;"Actif";0;0;0;0;65.5;1970-01-01;2.18196536;13.46889294;"AEROPORT QUARTIER";"Système";"NIAMEY";"Urbain";"Wadata 5";"Wadata";"Niamey";"Jamais";1518;"Jamais visité";"Oui"
"AHWtWCEx";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-30;"Inactif récent";31;2020-06-30;1970-01-01;"Inactif récent";0;0;0;0;5;1970-01-01;2.12841039;13.54533896;"CITE CAISSE";"Système";"NIAMEY";"Urbain";"Nord 4";"Nord";"Niamey";"Jamais";0;"Jamais visité";"Non"
"AHWtWCEx";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-06-30;"Inactif récent";47;2020-06-30;1970-01-01;"Inactif récent";0;0;0;0;5;1970-01-01;2.12841039;13.54533896;"CITE CAISSE";"Système";"NIAMEY";"Urbain";"Nord 4";"Nord";"Niamey";"Jamais";0;"Jamais visité";"Non"
"RnvsDhG0";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";0;2020-07-31;2020-07-29;"Actif";1;200;0;0;8.15;2020-07-18;1.352495;13.842615;"BANGOUTARA";"Visites";"BANGOUTARA";"Rural";"Téra";"Ouest";"Tillaberi";"Oui";16;"A maintenu son statut";"Non"
"RnvsDhG0";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";16;2020-07-31;2020-07-29;"Actif";0;0;0;0;8.15;2020-08-08;1.35256666666667;13.842655;"BANGOUTARA";"Visites";"BANGOUTARA";"Rural";"Téra";"Ouest";"Tillaberi";"Oui";0;"A maintenu son statut";"Non"
"NR73ilu7";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-09;"Futur inactif";22;2020-07-09;1970-01-01;"Futur inactif";0;0;0;0;823.08;1970-01-01;2.13934952;13.51258359;"PNA AL OUMA SIEGE";"Système";"NIAMEY";"Urbain";"Wadata 2";"Wadata";"Niamey";"Jamais";3363;"Jamais visité";"Oui"
"NR73ilu7";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-13;"Actif";3;2020-08-13;1970-01-01;"Actif";0;0;0;0;432.68;1970-01-01;2.13934952;13.51258359;"PNA AL OUMA SIEGE";"Système";"NIAMEY";"Urbain";"Wadata 2";"Wadata";"Niamey";"Jamais";70;"Jamais visité";"Non"
"o8nRvilj";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-21;"Inactif récent";40;2020-06-21;2020-05-05;"Inactif récent";0;0;0;0;5.95;1970-01-01;2.12874718;13.50862298;"NOUVEAU MARCHE";"Système";"NIAMEY";"Urbain";"Wadata 2";"Wadata";"Niamey";"Jamais";0;"Jamais visité";"Non"
"o8nRvilj";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-06-21;"Inactif récent";56;2020-06-21;2020-05-05;"Inactif récent";0;0;0;0;5.95;1970-01-01;2.12874718;13.50862298;"NOUVEAU MARCHE";"Système";"NIAMEY";"Urbain";"Wadata 2";"Wadata";"Niamey";"Jamais";0;"Jamais visité";"Non"
"INDKF2Wy";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-25;"Actif";6;2020-07-25;1970-01-01;"Actif";0;0;0;0;3357.9;1970-01-01;2.14927628;13.49347671;"TALLADJE_MARCHE";"Système";"NIAMEY";"Urbain";"Wadata 3";"Wadata";"Niamey";"Jamais";7072;"Jamais visité";"Oui"
"INDKF2Wy";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-10;"Actif";6;2020-08-10;1970-01-01;"Actif";0;0;0;0;16047.9;1970-01-01;2.14183971;13.49060332;"SITE CENTRAL";"Système";"NIAMEY";"Urbain";"Wadata 3";"Wadata";"Niamey";"Jamais";6690;"Jamais visité";"Oui"
"jaOE4Z3z";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-25;"Actif";6;2020-06-05;2020-07-25;"Actif";0;0;0;0;1830;2020-07-25;3.233385;13.614065;"LOGA";"Visites";"LOGA";"Urbain";"Loga";"Centre";"Dosso";"Oui";15;"A réagi";"Non"
"jaOE4Z3z";2020-08-01;2020-08-16;"Retailer";"Indirect";"PDV";2020-08-15;"Actif";1;2020-08-15;2020-08-15;"Actif";0;0;0;0;970;2020-08-15;3.23352666666667;13.6172583333333;"LOGA";"Visites";"LOGA";"Urbain";"Loga";"Centre";"Dosso";"Oui";0;"A maintenu son statut";"Non"
"HZBeis2z";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-25;"Actif";6;2020-07-25;2020-07-21;"Actif";0;0;0;0;4442;2020-07-23;5.29127;14.8765366666667;"TAHOUA_SORTIE_MOOV";"Visites";"TAHOUA";"Urbain";"Tahoua 1";"Centre";"Tahoua";"Oui";142;"Nouveau PDV visité";"Non"
